Image_Name,Start_x,Start_y,End_x,End_y,Car_Name,Orig_img_height,Orig_img_width,Image_Path
02420_flip.jpg,24.0,55.0,607.0,427.0,Buick Verano Sedan 2012,480,640,/content/drive/My Drive/capstone/augmented/02420_flip.jpg
05400_flip.jpg,14.0,37.0,244.0,165.0,Hyundai Santa Fe SUV 2012,194,259,/content/drive/My Drive/capstone/augmented/05400_flip.jpg
02199_flip.jpg,4.0,56.0,395.0,229.0,Ferrari 458 Italia Coupe 2012,300,400,/content/drive/My Drive/capstone/augmented/02199_flip.jpg
04232_flip.jpg,105.0,99.0,579.0,354.0,Ferrari California Convertible 2012,426,640,/content/drive/My Drive/capstone/augmented/04232_flip.jpg
04435.jpg,18.0,8.0,620.0,384.0,Mercedes-Benz 300-Class Convertible 1993,480,640,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Mercedes-Benz 300-Class Convertible 1993/04435.jpg
06895.jpg,147.0,737.0,1950.0,1430.0,Land Rover Range Rover SUV 2012,1575,2100,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Land Rover Range Rover SUV 2012/06895.jpg
06344_flip.jpg,45.0,35.0,639.0,403.0,Audi S4 Sedan 2012,480,640,/content/drive/My Drive/capstone/augmented/06344_flip.jpg
07642_flip.jpg,98.0,48.0,1001.0,695.0,Spyker C8 Coupe 2009,849,1279,/content/drive/My Drive/capstone/augmented/07642_flip.jpg
00658_flip.jpg,192.0,235.0,1260.0,878.0,Mercedes-Benz E-Class Sedan 2012,1000,1500,/content/drive/My Drive/capstone/augmented/00658_flip.jpg
02309.jpg,25.0,86.0,306.0,245.0,Bugatti Veyron 16.4 Coupe 2009,320,400,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Bugatti Veyron 16.4 Coupe 2009/02309.jpg
05291_flip.jpg,67.0,56.0,606.0,427.0,Dodge Journey SUV 2012,480,640,/content/drive/My Drive/capstone/augmented/05291_flip.jpg
07194_flip.jpg,46.0,126.0,208.0,184.0,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,194,259,/content/drive/My Drive/capstone/augmented/07194_flip.jpg
02661.jpg,17.0,5.0,282.0,173.0,Chrysler Aspen SUV 2009,187,300,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Chrysler Aspen SUV 2009/02661.jpg
04811_flip.jpg,626.0,176.0,1465.0,618.0,Porsche Panamera Sedan 2012,1063,1600,/content/drive/My Drive/capstone/augmented/04811_flip.jpg
06919.jpg,26.0,102.0,633.0,389.0,BMW 3 Series Wagon 2012,480,640,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/BMW 3 Series Wagon 2012/06919.jpg
00488_flip.jpg,28.0,35.0,207.0,139.0,Chevrolet Corvette ZR1 2012,199,300,/content/drive/My Drive/capstone/augmented/00488_flip.jpg
07104_flip.jpg,41.0,79.0,593.0,355.0,Chrysler Town and Country Minivan 2012,384,630,/content/drive/My Drive/capstone/augmented/07104_flip.jpg
00651_flip.jpg,8.0,147.0,782.0,511.0,Suzuki Kizashi Sedan 2012,534,800,/content/drive/My Drive/capstone/augmented/00651_flip.jpg
03482.jpg,55.0,107.0,996.0,721.0,Chevrolet Express Van 2007,768,1024,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Chevrolet Express Van 2007/03482.jpg
03321.jpg,8.0,59.0,498.0,266.0,Audi V8 Sedan 1994,315,500,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Audi V8 Sedan 1994/03321.jpg
07198_flip.jpg,17.0,34.0,285.0,171.0,Ferrari 458 Italia Coupe 2012,199,300,/content/drive/My Drive/capstone/augmented/07198_flip.jpg
06823_flip.jpg,74.0,56.0,577.0,276.0,BMW 6 Series Convertible 2007,303,802,/content/drive/My Drive/capstone/augmented/06823_flip.jpg
00480_flip.jpg,29.0,46.0,239.0,134.0,Ford Expedition EL SUV 2009,194,259,/content/drive/My Drive/capstone/augmented/00480_flip.jpg
02925.jpg,56.0,30.0,984.0,494.0,Lamborghini Reventon Coupe 2008,530,1024,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Lamborghini Reventon Coupe 2008/02925.jpg
06217_flip.jpg,202.0,71.0,1086.0,705.0,Bentley Mulsanne Sedan 2011,782,1280,/content/drive/My Drive/capstone/augmented/06217_flip.jpg
06166.jpg,3.0,81.0,500.0,279.0,Chevrolet Corvette Convertible 2012,375,500,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Chevrolet Corvette Convertible 2012/06166.jpg
01430_flip.jpg,19.0,54.0,383.0,253.0,Chevrolet Silverado 1500 Extended Cab 2012,300,400,/content/drive/My Drive/capstone/augmented/01430_flip.jpg
05842_flip.jpg,52.0,124.0,460.0,261.0,Chevrolet Silverado 1500 Extended Cab 2012,333,500,/content/drive/My Drive/capstone/augmented/05842_flip.jpg
01783.jpg,39.0,44.0,472.0,247.0,Audi R8 Coupe 2012,350,500,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Audi R8 Coupe 2012/01783.jpg
04983_flip.jpg,49.0,93.0,225.0,169.0,Lamborghini Aventador Coupe 2012,200,300,/content/drive/My Drive/capstone/augmented/04983_flip.jpg
00115.jpg,26.0,90.0,376.0,243.0,Dodge Caliber Wagon 2012,267,400,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Dodge Caliber Wagon 2012/00115.jpg
01479_flip.jpg,224.0,118.0,519.0,300.0,Suzuki SX4 Sedan 2012,350,600,/content/drive/My Drive/capstone/augmented/01479_flip.jpg
02257.jpg,6.0,42.0,1022.0,366.0,Chevrolet Corvette Ron Fellows Edition Z06 2007,386,1024,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Chevrolet Corvette Ron Fellows Edition Z06 2007/02257.jpg
01648_flip.jpg,29.0,35.0,236.0,167.0,Hyundai Santa Fe SUV 2012,194,259,/content/drive/My Drive/capstone/augmented/01648_flip.jpg
04350.jpg,27.0,45.0,628.0,441.0,Chevrolet Malibu Hybrid Sedan 2010,480,640,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Chevrolet Malibu Hybrid Sedan 2010/04350.jpg
00305_flip.jpg,37.0,21.0,169.0,122.0,Isuzu Ascender SUV 2008,134,200,/content/drive/My Drive/capstone/augmented/00305_flip.jpg
04430_flip.jpg,19.0,156.0,619.0,327.0,Ferrari California Convertible 2012,480,640,/content/drive/My Drive/capstone/augmented/04430_flip.jpg
03672_flip.jpg,135.0,308.0,1098.0,635.0,Ford F-450 Super Duty Crew Cab 2012,960,1280,/content/drive/My Drive/capstone/augmented/03672_flip.jpg
07391_flip.jpg,21.0,36.0,319.0,198.0,Jeep Wrangler SUV 2012,240,320,/content/drive/My Drive/capstone/augmented/07391_flip.jpg
02268.jpg,90.0,65.0,546.0,397.0,Chevrolet Express Van 2007,480,640,/content/drive/My Drive/capstone/Dataset/Car Images/Train Images/Chevrolet Express Van 2007/02268.jpg
