Image_Name,Start_x,Start_y,End_x,End_y,Car_Name,Orig_img_height,Orig_img_width,Image_Path
00001.jpg,30.0,52.0,246.0,147.0,Suzuki Aerio Sedan 2007,182,276,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Suzuki Aerio Sedan 2007/00001.jpg
00002.jpg,100.0,19.0,576.0,203.0,Ferrari 458 Italia Convertible 2012,360,640,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Ferrari 458 Italia Convertible 2012/00002.jpg
00003.jpg,51.0,105.0,968.0,659.0,Jeep Patriot SUV 2012,741,1024,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Jeep Patriot SUV 2012/00003.jpg
00004.jpg,67.0,84.0,581.0,407.0,Toyota Camry Sedan 2012,480,640,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Toyota Camry Sedan 2012/00004.jpg
00005.jpg,140.0,151.0,593.0,339.0,Tesla Model S Sedan 2012,373,600,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Tesla Model S Sedan 2012/00005.jpg
00006.jpg,20.0,77.0,420.0,301.0,Chrysler Town and Country Minivan 2012,360,460,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Chrysler Town and Country Minivan 2012/00006.jpg
00007.jpg,249.0,166.0,2324.0,1459.0,GMC Terrain SUV 2012,1944,2592,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/GMC Terrain SUV 2012/00007.jpg
00008.jpg,119.0,215.0,1153.0,719.0,Mercedes-Benz S-Class Sedan 2012,800,1280,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Mercedes-Benz S-Class Sedan 2012/00008.jpg
00009.jpg,1.0,7.0,275.0,183.0,BMW X5 SUV 2007,183,275,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/BMW X5 SUV 2007/00009.jpg
00010.jpg,28.0,55.0,241.0,177.0,Chevrolet HHR SS 2010,194,259,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Chevrolet HHR SS 2010/00010.jpg
00011.jpg,30.0,20.0,438.0,253.0,Buick Verano Sedan 2012,275,500,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Buick Verano Sedan 2012/00011.jpg
00012.jpg,14.0,21.0,242.0,156.0,Ford Freestar Minivan 2007,194,259,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Ford Freestar Minivan 2007/00012.jpg
00013.jpg,1.0,42.0,495.0,313.0,Ford E-Series Wagon Van 2012,340,512,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Ford E-Series Wagon Van 2012/00013.jpg
00014.jpg,8.0,63.0,395.0,287.0,Hyundai Elantra Sedan 2007,300,400,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Hyundai Elantra Sedan 2007/00014.jpg
00015.jpg,50.0,103.0,569.0,403.0,Dodge Caliber Wagon 2012,480,640,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Dodge Caliber Wagon 2012/00015.jpg
00016.jpg,80.0,116.0,359.0,250.0,Cadillac CTS-V Sedan 2012,326,434,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Cadillac CTS-V Sedan 2012/00016.jpg
00017.jpg,9.0,48.0,630.0,361.0,Land Rover Range Rover SUV 2012,424,640,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Land Rover Range Rover SUV 2012/00017.jpg
00018.jpg,113.0,66.0,554.0,369.0,BMW X6 SUV 2012,403,620,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/BMW X6 SUV 2012/00018.jpg
00019.jpg,82.0,70.0,277.0,168.0,Audi S5 Coupe 2012,199,300,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Audi S5 Coupe 2012/00019.jpg
00020.jpg,25.0,56.0,569.0,416.0,BMW X5 SUV 2007,432,576,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/BMW X5 SUV 2007/00020.jpg
00021.jpg,11.0,55.0,298.0,196.0,Lamborghini Aventador Coupe 2012,225,300,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Lamborghini Aventador Coupe 2012/00021.jpg
00022.jpg,11.0,65.0,484.0,304.0,Acura TL Type-S 2008,350,490,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Acura TL Type-S 2008/00022.jpg
00023.jpg,37.0,115.0,1561.0,1096.0,Chrysler PT Cruiser Convertible 2008,1200,1600,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Chrysler PT Cruiser Convertible 2008/00023.jpg
00024.jpg,1.0,26.0,160.0,89.0,Ford Mustang Convertible 2007,119,160,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Ford Mustang Convertible 2007/00024.jpg
00025.jpg,131.0,301.0,1279.0,876.0,Mercedes-Benz S-Class Sedan 2012,1000,1333,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Mercedes-Benz S-Class Sedan 2012/00025.jpg
00026.jpg,93.0,20.0,523.0,371.0,Volkswagen Golf Hatchback 1991,540,720,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Volkswagen Golf Hatchback 1991/00026.jpg
00027.jpg,59.0,101.0,938.0,652.0,Nissan Juke Hatchback 2012,768,1024,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Nissan Juke Hatchback 2012/00027.jpg
00028.jpg,15.0,93.0,608.0,408.0,Volvo XC90 SUV 2007,480,640,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Volvo XC90 SUV 2007/00028.jpg
00029.jpg,43.0,67.0,386.0,340.0,Dodge Dakota Club Cab 2007,397,429,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Dodge Dakota Club Cab 2007/00029.jpg
00030.jpg,56.0,80.0,594.0,365.0,Acura TSX Sedan 2012,387,627,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Acura TSX Sedan 2012/00030.jpg
00031.jpg,33.0,107.0,953.0,610.0,Mercedes-Benz E-Class Sedan 2012,657,990,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Mercedes-Benz E-Class Sedan 2012/00031.jpg
00032.jpg,178.0,316.0,1345.0,1132.0,Jeep Grand Cherokee SUV 2012,1200,1600,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Jeep Grand Cherokee SUV 2012/00032.jpg
00033.jpg,39.0,46.0,575.0,349.0,Toyota Corolla Sedan 2012,389,623,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Toyota Corolla Sedan 2012/00033.jpg
00034.jpg,11.0,64.0,592.0,351.0,Bentley Continental Flying Spur Sedan 2007,400,600,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Bentley Continental Flying Spur Sedan 2007/00034.jpg
00035.jpg,10.0,22.0,492.0,316.0,BMW X6 SUV 2012,332,500,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/BMW X6 SUV 2012/00035.jpg
00036.jpg,73.0,421.0,1525.0,1114.0,Acura ZDX Hatchback 2012,1200,1600,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Acura ZDX Hatchback 2012/00036.jpg
00037.jpg,27.0,72.0,591.0,414.0,BMW 6 Series Convertible 2007,480,640,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/BMW 6 Series Convertible 2007/00037.jpg
00038.jpg,13.0,56.0,215.0,143.0,Chevrolet Silverado 1500 Extended Cab 2012,194,259,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Chevrolet Silverado 1500 Extended Cab 2012/00038.jpg
00039.jpg,22.0,39.0,547.0,250.0,BMW 3 Series Wagon 2012,269,580,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/BMW 3 Series Wagon 2012/00039.jpg
00040.jpg,109.0,66.0,907.0,723.0,Mercedes-Benz Sprinter Van 2012,768,1024,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Mercedes-Benz Sprinter Van 2012/00040.jpg
00041.jpg,116.0,136.0,679.0,449.0,Spyker C8 Coupe 2009,533,800,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Spyker C8 Coupe 2009/00041.jpg
00042.jpg,10.0,38.0,293.0,210.0,Ford F-450 Super Duty Crew Cab 2012,225,300,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Ford F-450 Super Duty Crew Cab 2012/00042.jpg
00043.jpg,168.0,172.0,877.0,592.0,Acura TL Sedan 2012,683,1024,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Acura TL Sedan 2012/00043.jpg
00044.jpg,15.0,58.0,254.0,195.0,Chevrolet Avalanche Crew Cab 2012,225,300,/content/drive/My Drive/capstone/Dataset/Car Images/Test Images/Chevrolet Avalanche Crew Cab 2012/00044.jpg
